"sexe" "educ" "stat_pro" "salaire" "salembau" "ancienne" "exppasse" "national" "age"
"1" 2 8 1 28350 12000 98 26 1 36
"2" 2 16 1 40200 18750 98 36 0 44
"3" 1 12 1 21450 12000 98 381 0 73
"4" 1 8 1 21900 13200 98 190 0 55
"5" 2 15 1 45000 21000 98 138 0 47
"6" 2 15 1 32100 13500 98 67 0 44
"7" 2 15 1 36000 18750 98 114 0 46
"8" 1 12 1 21900 9750 98 0 0 36
"9" 1 15 1 27900 12750 98 115 0 56
"10" 1 12 1 24000 13500 98 244 0 56
"11" 1 16 1 30300 16500 98 143 0 52
"12" 2 15 3 57000 27000 98 144 0 50
"13" 2 15 1 27750 14250 98 34 1 42
"14" 1 15 1 35100 16800 98 137 1 53
"15" 2 12 1 27300 13500 97 66 0 40
"16" 2 12 1 40800 15000 97 24 0 38
"17" 2 15 1 46000 14250 97 48 0 40
"18" 2 16 3 103750 27510 97 70 0 46
"19" 2 12 1 42300 14250 97 103 0 40
"20" 1 12 1 26250 11550 97 48 0 62
"21" 1 16 1 38850 15000 97 17 0 39
"22" 2 12 1 21750 12750 97 315 1 62
"23" 1 15 1 24000 11100 97 75 1 37
"24" 1 12 1 16950 9000 97 124 1 69
"25" 1 15 1 21150 9000 97 171 1 60
"26" 2 15 1 31050 12600 96 14 0 36
"27" 2 19 3 60375 27480 96 96 0 48
"28" 2 15 1 32550 14250 96 43 0 39
"29" 2 19 3 135000 79980 96 199 0 58
"30" 2 15 1 31200 14250 96 54 0 41
"31" 2 12 1 36150 14250 96 83 0 38
"32" 2 19 3 110625 45000 96 120 0 48
"33" 2 15 1 42000 15000 96 68 0 41
"34" 2 19 3 92000 39990 96 175 0 53
"35" 2 17 3 81250 30000 96 18 0 41
"36" 1 8 1 31350 11250 96 52 0 39
"37" 2 12 1 29100 13500 96 113 1 48
"38" 2 15 1 31350 15000 96 49 1 40
"39" 2 16 1 36000 15000 96 46 1 42
"40" 1 15 1 19200 9000 96 23 1 69
"41" 1 12 1 23550 11550 96 52 1 41
"42" 2 15 1 35100 16500 95 90 0 42
"43" 2 12 1 23250 14250 95 46 0 38
"44" 2 8 1 29250 14250 95 50 0 39
"45" 2 12 2 30750 13500 95 307 0 64
"46" 1 15 1 22350 12750 95 165 0 62
"47" 1 12 1 30000 16500 95 228 0 64
"48" 2 12 2 30750 14100 94 240 0 55
"49" 2 15 1 34800 16500 94 93 0 44
"50" 2 16 3 60000 23730 94 59 0 42
"51" 2 12 1 35550 15000 94 48 0 40
"52" 2 15 1 45150 15000 94 40 0 39
"53" 2 18 3 73750 26250 94 56 0 48
"54" 2 12 1 25050 13500 94 444 0 71
"55" 2 12 1 27000 15000 94 120 0 42
"56" 2 15 1 26850 13500 94 5 0 40
"57" 2 15 1 33900 15750 94 78 0 39
"58" 1 15 1 26400 13500 94 3 0 38
"59" 2 15 1 28050 14250 94 36 1 41
"60" 2 12 1 30900 15000 94 102 1 43
"61" 2 8 1 22500 9750 94 36 1 38
"62" 2 16 3 48000 21750 93 22 0 40
"63" 2 17 3 55000 26250 93 32 0 41
"64" 2 16 3 53125 21000 93 48 0 39
"65" 2 8 1 21900 14550 93 41 0 38
